0.100000	-nan	-nan	0.000052	-0.000000	-0.000022	0.025978	-0.021649	0.531052	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
0.200000	-nan	-nan	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
0.300000	0.945145	1.330393	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	65.408913	3.322116	2.021949	2.846110	3.114630	65.432701	0.531000	0.210700
0.400000	0.945145	1.330393	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	65.408913	3.322116	2.021949	2.846110	3.114630	65.432701	0.531000	0.210700
0.500000	0.908812	1.279251	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	62.894524	3.194410	1.944223	2.736702	3.114630	62.917393	0.531000	0.197106
0.600000	0.908812	1.279251	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	62.894524	3.194410	1.944223	2.736702	3.114630	62.917393	0.531000	0.197106
0.700000	0.838979	1.328291	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	62.296841	4.219488	1.794829	2.841614	3.105643	62.337120	0.531000	0.194197
0.800000	0.838979	1.328291	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	62.296841	4.219488	1.794829	2.841614	3.105643	62.337120	0.531000	0.194197
0.900000	0.759868	1.357585	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	60.864861	5.154300	1.625586	2.904282	3.096656	60.926365	0.531000	0.187404
1.000000	0.759868	1.357585	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	60.864861	5.154300	1.625586	2.904282	3.096656	60.926365	0.531000	0.187404
1.100000	0.830966	1.315604	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	61.701824	4.179187	1.777686	2.814472	3.105643	61.741718	0.531000	0.191284
1.200000	0.830966	1.315604	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	61.701824	4.179187	1.777686	2.814472	3.105643	61.741718	0.531000	0.191284
1.300000	1.359891	0.807373	0.000052	-0.000000	-0.000043	0.000000	0.000000	0.531052	-0.000023	65.306625	-7.747352	3.391217	1.469228	-3.078683	65.436066	0.531000	0.210719
1.400000	1.359891	0.807373	0.000065	-0.000000	0.000000	0.000000	0.000000	0.531065	-0.000000	65.306625	-7.747352	3.391217	1.469228	-3.078683	65.436066	0.531000	0.210719
1.500000	0.906039	1.275347	0.000312	0.000000	0.000725	0.003247	0.010824	0.531312	0.000385	62.702576	3.184661	1.938289	2.728350	3.114630	62.725376	0.531000	0.196135
1.600000	0.906039	1.275347	0.001533	0.000001	0.001808	0.009742	0.054122	0.532532	0.000961	62.702576	3.184661	1.938289	2.728350	3.114630	62.725376	0.531000	0.196135
1.700000	0.849360	1.344726	0.003150	0.000008	0.006592	0.022731	0.054122	0.534138	0.003508	63.067631	4.271696	1.817036	2.876772	3.105643	63.108410	0.531000	0.198081
1.800000	0.849360	1.344726	0.005637	0.000032	0.012578	0.032473	0.064946	0.536595	0.006711	63.067631	4.271696	1.817036	2.876772	3.105643	63.108410	0.531000	0.198081
1.900000	1.769198	0.368596	0.008761	0.000080	0.017438	0.022731	0.032473	0.539680	0.009339	63.929199	-19.639109	4.815033	-0.057102	-2.979893	64.774170	0.531000	0.206965
2.000000	1.769198	0.368596	0.009092	0.000086	0.017535	0.000000	0.000000	0.540010	0.009397	63.929199	-19.639109	4.815033	-0.057102	-2.979893	64.774170	0.531000	0.206965
2.100000	0.626128	1.445206	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.539200	7.063160	1.339476	3.091729	3.078683	59.657211	0.531000	0.181588
2.200000	0.626128	1.445206	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.539200	7.063160	1.339476	3.091729	3.078683	59.657211	0.531000	0.181588
2.300000	0.552348	1.463879	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	57.955181	7.860424	1.181637	3.131677	3.069698	58.105286	0.531000	0.174796
2.400000	0.552348	1.463879	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	57.955181	7.860424	1.181637	3.131677	3.069698	58.105286	0.531000	0.174796
2.500000	0.571201	1.513847	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.933395	8.128728	1.221971	3.238572	3.069698	60.088623	0.531000	0.183536
2.600000	0.571201	1.513847	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.933395	8.128728	1.221971	3.238572	3.069698	60.088623	0.531000	0.183536
2.700000	0.565048	1.497538	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.287731	8.041157	1.208806	3.203683	3.069698	59.441288	0.531000	0.180623
2.800000	0.565048	1.497538	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	59.287731	8.041157	1.208806	3.203683	3.069698	59.441288	0.531000	0.180623
2.900000	1.434668	0.676220	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	62.671631	-10.634883	3.651337	1.012999	-3.051729	62.925537	0.531000	0.197148
3.000000	1.434668	0.676220	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	62.671631	-10.634883	3.651337	1.012999	-3.051729	62.925537	0.531000	0.197148
3.100000	0.515327	1.583038	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	60.316174	9.207207	1.102438	3.386593	3.060713	60.513996	0.531000	0.185486
3.200000	0.515327	1.583038	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	60.316174	9.207207	1.102438	3.386593	3.060713	60.513996	0.531000	0.185486
3.300000	1.295604	0.834698	0.009085	0.000086	0.017557	0.000000	0.000000	0.540004	0.009408	63.578983	-6.462779	3.167587	1.564279	-3.087669	63.671532	0.531000	0.201003
